 ,No-brainer keywords,Keywords as separate words (simulated in tool),Negative keywords,Headline,Link pointing to,Bottom-text
Tech,"computer, hardware, gadget, gadgets, computing, software, android, tech, technologies, electronic","app, apps, pc, cpu, gpu, chip, chipset, codes, code","appartement, applied, apprenties, apprentie, apparel, apparels, apprentice, apprentices, appointment, appointments, approach, apporoaches, apple, apples, potatochip, potatochips",Is your site about tech?,https://www.ultimatelysocial.com/Tech-themed-icons/?utm_source=any_settings_page&utm_campaign=Tech_icons&utm_medium=banner,See all IT-themed-icons >
Gaming,"gaming, games, playstation, xbox, nintendo, casino, poker, blackjack, gambling, ludico, retrogaming, joystick, console, pacman","ps4, ludo, handheld",,Is your site about gaming?,https://www.ultimatelysocial.com/Gaming-themed-icons/?utm_source=any_settings_page&utm_campaign=Gaming_icons&utm_medium=banner,See all gaming-themed-icons >
Literature,"literature, literatures, poetry, writing, inkwell","book, books, novel, novels, reading","booklet, booklets, facebook, ouchbook, sketchbook, sketchbooks, notebook, notebooks, bookkeeper, bookkeepers, bookeeper, bookeepers, chromebook, chromebooks, scrapbook, scrapbooks, novelty",,https://www.ultimatelysocial.com/Literature-themed-icons/?utm_source=any_settings_page&utm_campaign=Literature_icons&utm_medium=banner,See all book-themed-icons >
Religion,"jesus, buddha, church, churches, mosque, islam, muslim, quran, shinto, buddhism, buddhist, buddhists, muslims, catholic, catholics, christians, hebrew, hebrews, priest, priesthood, priests, judaism, judaists, judahist, mormon, mormons, judaica, shabbat, tanakh, torah, torahs, tanakhs, shabbats, testament, newtestament, oldtestament, ramadan, baptist, baptists, worship,cristiana","god, gods, christ, faith, holy","godaddy, godfather, godfathers, godmother, godmothers, godmom, christmas, christabel, christel",Is your site about religion?,https://www.ultimatelysocial.com/Religion-themed-icons/?utm_source=any_settings_page&utm_campaign=Religion_icons&utm_medium=banner,See all religion-themed-icons >
Art-Design,"Artist, artists, design, designer, illustration, illustrations, crafting, artista, illustrator, creative, painting, painter, paint, gallery, galleries, colours","craft, crafts, crafty, printing, art, arts","minecraft, warcraft, aircraft, singcraft, witchcraft, imprinting, stuttgart, smart, heart, hearts, start, starts. smarts, martha, apartamentre. stewart, stewarts, mart, marts, dart, darts, artrite",Is your site about art or design?,https://www.ultimatelysocial.com/Art-Design-themed-icons/?utm_source=any_settings_page&utm_campaign=Art-Design_icons&utm_medium=banner,See all art/design-themed-icons >
Fashion,"fashion, fashionista, clothes, clothing, shoes, gown, gowns,dressage, makeup, apparels, apparel, leather, shirt, handbag"," dress, dresses, wear, mode, moda, bag","dressing, address, addresses, hairdresser, hairdressers, dressage",Is your site about fashion?,https://www.ultimatelysocial.com/Fashion-themed-icons/?utm_source=any_settings_page&utm_campaign=Fashion_icons&utm_medium=banner,See all beauty/fashion-themed-icons >
Health,"doctor, clinic, medicine, wellness, clinica, healthcare, dentist, dental, surgeon, surgery, pharmacy, farmacy, klinik","health, pharma, medi, med, healthy",,Is your site about health?,https://www.ultimatelysocial.com/Health-themed-icons/?utm_source=any_settings_page&utm_campaign=Health_icons&utm_medium=banner,See all health-themed-icons >
Animals,"wildlife, fauna, animals,animal, zoology, butterfly, butterflies, insects, ungulate, ungulates, camels, elephants, lioness, donkey, donkeys, pandas, tigers, tiger, bandicoot, bandicoots, poultry, chicken, chickens, squirrels, giraffe, giraffes, hamster, hamsters, rooster, roosters, hippos, monkey, monkeys, lagomorph, chinchilla, rabbits, rabbit, bunny, bunnies, kangaroo, kangaroos, koala, koalas, penguin, penguins, peacock, turtles, tortoise, zebra, zebras, piglet","bear, bears, avian, aves, bird, birds, feathers, feather, insect, camel, elephant, lion, lions, mule, mules, panda, mouse, mice, rodent, rodents, wolf, wolves, bat, bats, squirrel, cow, deer, deers, moose, duck, ducks, drake, drakes, fox, foxes, pets, cock, cocks, hippo, owl, owls, goose, geese, roo, roos, hen, hens, sheep, sheeps, turtle, pig, pigs, sow, boar, piggy","beard, beards,unbearable, scandinavian, octavian, moravian, lavianda, laviana, travian, ottaviano, oktaviano, batavian, graves, travesty, waves, greaves, leaves, caves, eaves, saves, scandinaves, sheaves, aveso, featherstone, rebellion, excellion, medallion, excellion, crystallion, formule, wolfgang, wolfenden, batting, bath, battesti, barbatricks, abat, battern, batcave, batchin, battaglia, batavia,barbat, cowboy, cowgirl, cowburn, rubberduck, duckpond, trackduck, duckstorm, foxton, skyfox, stanfox, stanfoxes, trumpets, carpets, snippets, cocktails, cocktail, cocker, cockers, cockroach, cockburn, cockeye, cockeyed, hippocrates, bowl, superbowl, owlshead, bowls, howls, goosegirl, goosegirls, roofing, roof, room, root, bathroom, cameroon, classroom, rooted, rooting, roosendaal,trooper. troop, palmroos, roosevelt, rooswinkel, deliroos, henry, machen, hensaw, wathen, then, stephen, henri, hengelo, hentai, shen, kitchen, stephendale, henshin, hengel, hengut, athens, stephens, sheepskin, sheepskins, pigeons, pigeon, spiga, espiga, pigot, aspigon, spigot, epigraf, pigott, pigatto, pigheaded, pigskin, pigro, espigones, pigments, hapigoo, board, skateboard, boards, surfboards, surfboard, signboard, signboards, boarding, clipboard, hoverboards, hoverboard, cardboard, billboard, cupboard, kiteboarding, snowboard, keyboard, onboard, whiteboard, aboard, gyroboard, springboard, callboard, longboard, sideboard, flipboard",You like animals?,https://www.ultimatelysocial.com/Animals-themed-icons/?utm_source=any_settings_page&utm_campaign=Animals_icons&utm_medium=banner,See all animals-themed-icons >
Database,"mysql, query, newsql, nosql","sql, data",,Are you into big data?,https://www.ultimatelysocial.com/Database-themed-icons/?utm_source=any_settings_page&utm_campaign=Database_icons&utm_medium=banner,See all database-themed-icons >
Flowers,"flower, flowering,orchid, floreal, roses, blossom, infloressence, effloressence, flowete, floral, blooming, blossoming, petals","floret, florets, fiore, fiori, bud, leaf, rose","floretta, fiorello, fiorella, fioretta, fioretto, fiorentino, fiorenzuola,  fiorino, budget, budgets, budapest, buddy, buddies, buddiez, budworks, goldleaf, bookleaf, leaflet, desertroses, desertrose, rosemary, alpenrose, rosette",Are you a floreal person?,https://www.ultimatelysocial.com/Flowers-themed-icons/?utm_source=any_settings_page&utm_campaign=Flowers_icons&utm_medium=banner,See all flowers-themed-icons >
Shoes,"sneaker, sneakers, moccassin, moccassins, sandal, sandals, footwear, footgear, footgears","shoe, shoes, slippers","horseshoe, horseshoes, slippery, horseshoeing",You like Shoes?,https://www.ultimatelysocial.com/Shoes-themed-icons/?utm_source=any_settings_page&utm_campaign=Shoes_icons&utm_medium=banner,See all shoes-themed-icons >
Agriculture,"agriculture, agricultural, agrarian, agriturismo, agrario, agricoltore, agricoltore, agricolo, agricoli, farmboy, farmgirl, farmer, farmers, harvest, harvesting, farmhouse","farm, farms","farmacy, farmacia, farmacie. farmington, bakefarm, farmshop",Is your site about agriculture and rural life?,https://www.ultimatelysocial.com/Agriculture-themed-icons/?utm_source=any_settings_page&utm_campaign=Agriculture_icons&utm_medium=banner,See all agriculture-themed icons >
Theatre,"theatre, theatres, broadway, dramaturgy, dramaturgies, theatrics. teatre, machaka, dance, dancing, dancer","opera, operas","operabrowser, operator, operators, operated",Do you love Theatre?,https://www.ultimatelysocial.com/Theatre-themed-icons/?utm_source=any_settings_page&utm_campaign=Theatre_icons&utm_medium=banner,See all theatre-themed icons >
Beauty,"beauty, skincare, salon,","spa, spas, nail, nails, ponytail, men, women","newspaper, space, spaghetti, spasetti, thumbnail, thumbnails",Your site is all about beauty?,https://www.ultimatelysocial.com/Beauty-themed-icons/?utm_source=any_settings_page&utm_campaign=Beauty_icons&utm_medium=banner,See all beauty-themed icons >
Holidays,"holiday, holidays, vaction, vacations, vacationer, hostel, hotel",,,Is your site about vacations and holidays?,https://www.ultimatelysocial.com/Holidays-themed-icons/?utm_source=any_settings_page&utm_campaign=Holidays_icons&utm_medium=banner,See all holidays-themed icons >
Golf,"Golf, Golfer",pga,,Are you a golf fan?,https://www.ultimatelysocial.com/Golf-themed-icons/?utm_source=any_settings_page&utm_campaign=Golf_icons&utm_medium=banner,See all golf-themed icons >
Cricket,,Cricket,Crickets,Are you a cricket fanatic?,https://www.ultimatelysocial.com/Cricket-themed-icons/?utm_source=any_settings_page&utm_campaign=Cricket_icons&utm_medium=banner,See all cricket-themed icons >
Motorsports,"rallye, motoGP","rally, Formula1, F1, Grand Prix",,Are you into motorsports?,https://www.ultimatelysocial.com/Motorsports-themed-icons/?utm_source=any_settings_page&utm_campaign=Motorsports_icons&utm_medium=banner,See all motorsports-themed icons >
Baseball,"baseball, baseballs, homerun, homeruns",,,Are you a baseball fanatic?,https://www.ultimatelysocial.com/Baseball-themed-icons/?utm_source=any_settings_page&utm_campaign=Baseball_icons&utm_medium=banner,See all baseball-themed icons >
Martial-Arts,"kungfu, karate, martialarts, martial-arts, kickboxing, muaythai, muay-thai, kempo, martial-artist, martialartist, judo, jujitsu","mma, ufc","emmanuel, emmanuelle, roommate, roommates, gemma, mamma, momma, mammas, mommas, immagine, immagina, immaculate, filmmaker, filmmakers, muhammad, gamma, immacolata, emma, dilemma, dilemmas, command, commands,  mammal, mammals, nommable, gramma, foammattress, fiamma, ",Are you into martial arts?,https://www.ultimatelysocial.com/Martial-Arts-themed-icons/?utm_source=any_settings_page&utm_campaign=Martial-Arts_icons&utm_medium=banner,See all martial-arts-themed icons >
Sky-Diving,"skydiving, skydiver, skydivers, sky-diving, sky-diver, sky-divers, parachute, parachuting",,,Are you into sky diving?,https://www.ultimatelysocial.com/Sky-Diving-themed-icons/?utm_source=any_settings_page&utm_campaign=Sky-Diving_icons&utm_medium=banner,See all sky-diving-themed icons >
American-Football,"americanfootball, gridiron","NFL, NCAA",,Are you an american football fan?,https://www.ultimatelysocial.com/American-Football-themed-icons/?utm_source=any_settings_page&utm_campaign=American-Football_icons&utm_medium=banner,See all american-football-themed icons >
Tennis,tennis,,,Are you a tennis fan?,https://www.ultimatelysocial.com/Tennis-themed-icons/?utm_source=any_settings_page&utm_campaign=Tennis_icons&utm_medium=banner,See all tennis-themed icons >
Volleyball,"volley, volleyball, pallavolo",,,Are you a volleyball fan?,https://www.ultimatelysocial.com/Volleyball-themed-icons/?utm_source=any_settings_page&utm_campaign=Volleyball_icons&utm_medium=banner,See all volleyball-themed icons >
Snooker,snooker,,,Are you into snooker?,https://www.ultimatelysocial.com/Snooker-themed-icons/?utm_source=any_settings_page&utm_campaign=Snooker_icons&utm_medium=banner,See all snooker-themed icons >
DIY,"do-it-yourself, doityourself, lifehack, lifehacker, lifehackers, mrfixit, mrfix-it","DIY, repair, repairing, repair",,Your site is about DIY,https://www.ultimatelysocial.com/DIY-themed-icons/?utm_source=any_settings_page&utm_campaign=DIY_icons&utm_medium=banner,See all diy-themed icons >
Video,"Movie, Cinema, filmaker, filmakers","TV, Film, video, videos","montevideo, videogame, videogames",Is your site about video entertainment?,https://www.ultimatelysocial.com/Video-themed-icons/?utm_source=any_settings_page&utm_campaign=Video_icons&utm_medium=banner,See all video-themed icons >
Law,"attorney, attorneys, lawyer, lawyers, tribunal, tribunals, abogado, adwokat","law, laws, judge, judges",,Are you a lawyer?,https://www.ultimatelysocial.com/Law-themed-icons/?utm_source=any_settings_page&utm_campaign=Law_icons&utm_medium=banner,See all law-themed icons >
Occult,"paranormal, occult, occultism, illusionism, illusionist, parapsychology","ghost, ghosts, haunted, ",ghostscript,Is your site about paranormal?,https://www.ultimatelysocial.com/Occult-themed-icons/?utm_source=any_settings_page&utm_campaign=Occult_icons&utm_medium=banner,See all occult-themed icons >
Toys,"LEGO, Playmobil, monopoly, boardgames, board-games","toys, toy, kid, kids","sextoy, sextoys, kidding, kidrowski, ",Are you into toys?,https://www.ultimatelysocial.com/Toys-themed-icons/?utm_source=any_settings_page&utm_campaign=Toys_icons&utm_medium=banner,See all toys-themed icons >
Fishing,"fishing, fisherman, fishermen",,,Do you love fishing?,https://www.ultimatelysocial.com/Fishing-themed-icons/?utm_source=any_settings_page&utm_campaign=Fishing_icons&utm_medium=banner,See all fishing-themed icons >
Fantasy,"Elves, fairy, fairies, wyvern, wyverns, wizard, wizards, fantasy","fantasy, dungeon, d&d, dungeons, dragon, dragons","dragonfly, dragonflies, snapdragon, snapdragons",Are you a fantasy geek?,https://www.ultimatelysocial.com/Fantasy-themed-icons/?utm_source=any_settings_page&utm_campaign=Fantasy_icons&utm_medium=banner,See all fantasy-themed icons >
Scifi,"sciencefiction, science-fiction, scifi, sci-fi, starship, starships, spaceship, spaceships, startrek, starwars",,,Are you a sci-fi geek?,https://www.ultimatelysocial.com/Scifi-themed-icons/?utm_source=any_settings_page&utm_campaign=Scifi_icons&utm_medium=banner,See all scifi-themed icons >
Shopping,"ecommerce, e-commerce, voucher, coupon, boutique, price","shop, shops, shopper, shoppers, shopping, shoppings","photoshop, photoshops, photoshopper, photoshoppers,photoshopping, photoshoppings",Is your site about ecommerce?,https://www.ultimatelysocial.com/Shopping-themed-icons/?utm_source=any_settings_page&utm_campaign=Shopping_icons&utm_medium=banner,See all shopping-themed icons >
Dinosaurs,"paleontology, palaeontology, paleontologist, dinosaur, dinosaurs, pterosaur, pterosaurs, jurassic, triassic, cretaceous, mesozoic",,,Do you love dinosaurs?,https://www.ultimatelysocial.com/Dinosaurs-themed-icons/?utm_source=any_settings_page&utm_campaign=Dinosaurs_icons&utm_medium=banner,See all dinosurs-themed icons >
Vegetables,"vegetables, vegetarian, veggie, vegan, verdure, verdura, legume, salad, aubergine, broccoli, cabbage, pepper, cauliflower, cucumber, garlic, potato, olive, onion, pumpkin, squash ",beet,"beetribe, beetravel, beetribes, beetravels",Do you love vegan cuisine?,https://www.ultimatelysocial.com/Vegetables-themed-icons/?utm_source=any_settings_page&utm_campaign=Vegetables_icons&utm_medium=banner,See all vegetables-themed icons >
Fruits," grape, grapes, pommegrenade, peach, strawberry, strawberries, pineapple, watermelon, frutta, fruity, grapefruit","mango, mangoes, fruit, fruits,",mangopay,Is your website all about fruit?,https://www.ultimatelysocial.com/Fruits-themed-icons/?utm_source=any_settings_page&utm_campaign=Fruits_icons&utm_medium=banner,See all fruits-themed icons >
SeaLife," fishes, dolphin, whale, whales, jellyfish","crab, crabs, fish","crabcake, crabulle, crabb, crabtree, scrabble, fisheye, catfishing, fishing, fishfingers, socialfish, fishmann",Do you love marine life?,https://www.ultimatelysocial.com/SeaLife-themed-icons/?utm_source=any_settings_page&utm_campaign=SeaLife_icons&utm_medium=banner,See all sealife-themed icons >
Science,"science, sciences, scientific, scientist, scientists, physics, quantum, astronomy, mathematic, robotics, mathematica, Invention, inventions, genious, gizmo, gizmos, contraption, contraptions, novelty, novelties, professor, researchers, chemistry","math, experiment, stars, h2o, dna, atom","rockstars, allstars, pornstars, starshot, singstars, fivestars, safestars, starsoccer, nightstars, dumpstars, superstars, sportstars, workstars, starships, starship, atombomb, anatomy, anatomia, anatomie",Are you into science?,https://www.ultimatelysocial.com/Science-themed-icons/?utm_source=any_settings_page&utm_campaign=Science_icons&utm_medium=banner,See all science-themed icons >
Hunting,"hunting, poaching, poach, falconry, falconer","bow, bows",,Is your website about hunting?,https://www.ultimatelysocial.com/Hunting-themed-icons/?utm_source=any_settings_page&utm_campaign=Hunting_icons&utm_medium=banner,See all hunting-themed icons >
Flags,"canada, italy, germany, philippines, japan, korea, switzerland, finland, taiwan, argentina, turkey, iraq, syria, lebanon, united kingdom, thailand, russia, ukraine, pakistan, ethiopia, egypt, netherlands, singapore, sweden, ireland, canadian, italian, italiano, filipino, pinoy, japanese, nihon, korean, finnish, chinese, taiwanese, spanish, argentino,turkish, iranian, syrian, lebanese, english, russian, ukraine, pakistani, ethiopian, egyptian, singaporean, swedish, indonesia, indonesian, malaysia, malaysian, ","usa, uae, iran, irish, spain, thai, french, india, indian, china, france, german","miranda, tirante, frenchy, frenchies, frenchkiss, indianapolis, francesca, francesco, germanshepherd, germanshepherds",Your site is about a certain country? ,https://www.ultimatelysocial.com/Flags-themed-icons/?utm_source=any_settings_page&utm_campaign=Flags_icons&utm_medium=banner,See all flags-themed icons >
Jewelry,"jewel, jewelry, earring, pendant, necklace, watches, gemstone","diamond, diamonds, watch, gem, precious, valuables","watchdog, watchdogs, watchhentai, watchmovies, watchman, watchmen, overwatch, skywatch, waterwatch, flexwatch, watchlight, watchlights, watchtower, homewatch, homewatcher, nightswatch, nightwatch, watchhill, crowdwatch, bridgemarketing, viagem, gemya, marriagemoney, growingempowered, orangemarketing, pengembangam, raisingempowered, leveragemarketing, gemstar, ",Your site is about jewlery?,https://www.ultimatelysocial.com/Jewelry-themed-icons/?utm_source=any_settings_page&utm_campaign=Jewelry_icons&utm_medium=banner,See all jewelry-themed icons >
Family,"parenthood, motherhood, pregnancy, fatherhood, child, children, preggo, pregnant, toddler, toddlers, infants","mother, mom, moms mothers, father, mommy, mama, baby, babies","mothership, motherships, babyface, babyboomer, babysitter, babysitting, crybaby, bushbaby, babyruth, sugarbaby, sugarbabies, hostbaby, furbaby, furbabies, sandbabies, flybabies",Is your site about family?,https://www.ultimatelysocial.com/Family-themed-icons/?utm_source=any_settings_page&utm_campaign=Family_icons&utm_medium=banner,See all family-themed icons >
Communications,"antenna, telephone, GLONASS, telecommunication, satellite, networking, telecom, tel-co, communications, wireless, television, wifi, antennas, satellites, Beidou, messaging, ","GPS, GSM, CDMA, LTE, GPRS, HSDPA, HSUPA, 3G, 4G, AGPS, UMTS,GSM, networks, tv, sms","bartvand, pintville, artvillas, prescottvalley, retirementvillage, brackettville, rabbitvalley, stortvalley, upstartvalley, expertvillage, ",Are you a telecommunications company?,https://www.ultimatelysocial.com/Communications-themed-icons/?utm_source=any_settings_page&utm_campaign=Communications_icons&utm_medium=banner,See all communications-themed icons >
Construction,"construction, bulldozer, piledriver, steamroller, excavator, prefabricate, hardhat, hard-hat, scaffold, scaffolding, cemento, forklift, carpentry, ","cement, build, builder, crane, hook, hooks, workers, worker","sitebuilder, dalesbuild, sitebuild, bodybuilder, rebuild , craneleg, lightworker, lightworkers",Are you a construction company?,https://www.ultimatelysocial.com/Construction-themed-icons/?utm_source=any_settings_page&utm_campaign=Construction_icons&utm_medium=banner,See all construction-themed icons >
History,"history, historian, helennistic, ancientworld, medieval, renaissance, romanempire, centurion, pharaoh, historic, historical, monument, colosseum, anubis, nefertiti, tutankhamon","ancient, antiquity, aztech, temple, roman, rome, relic, inca, pyramid","aztechmedic, templeton, stonetemple, templebody, romantic, romanshorn, romanegocios, jhonathanroman, romeo, romero, skincare, incasa, incabin",Is your site about history?,https://www.ultimatelysocial.com/History-themed-icons/?utm_source=any_settings_page&utm_campaign=History_icons&utm_medium=banner,See all history-themed icons >
Education,"education, educator, school, university, lyceum, ateneo, academy, università. student, career, instituto, escuela, teacher, alumni, universitario, universitaria, learning, learn, college, schoolbag, pencil, pencils, diploma, diplomate, graduate, graduates, chalkboard, blackboard, graduation, education, schoolbus, scholar","edu, job, jobs, uni, eraser, ruler, rubber, badge, sharpener","joben, jobless, blowjob, blowjobs, badger, badgers, unicorn, unicorns,  universe, united, unitedstates, uniform, uniforms, oportunidades, union, unions, unit, units, unichip, unisex, unitape, uniflow, unison, univention, unicoder, unicoders, uniservices, uniport, uniskin, unidose, uniglobe, unidad, unione, unique, unisport, unitrust, unicentro, unident, rubberduck",Is your site about Education?,https://www.ultimatelysocial.com/Education-themed-icons/?utm_source=any_settings_page&utm_campaign=Education_icons&utm_medium=banner,See all education-themed icons >
Furniture,"furniture, pillows, cushion, cushions, coathanger, desks, workstation, cabinets, drawer, closets, beds, antiques, grammophone, couch","carpet, carpets, chair, chairs, pillow, headrest, hanger, hangers, desk, closet, bed, mirror, mirrors, ","redcarpet, wheelchair, chairman, pillowtalk, desktop,desktops, uncloseted, closeto, bedaddy, bedwetting, bedford, fabbed, dogbed, bedbug, snowbed, bedracing, bedrock,  ",Is your site about furnitures?,https://www.ultimatelysocial.com/Furniture-themed-icons/?utm_source=any_settings_page&utm_campaign=Furniture_icons&utm_medium=banner,See all furniture-themed icons >
